x,y,z,anatomy
0.2629369,-0.05337226,-0.2269446,Right pectoral fin
0.2618424,-0.0337188,-0.2249913,Right pectoral fin
0.4339626,0.2257638,-0.4017778,Right pectoral fin
0.4476683,0.233186,-0.4092153,Right pectoral fin
0.4455526,0.233364,-0.4113011,Right pectoral fin
0.4367293,0.225565,-0.3995546,Right pectoral fin
0.4408392,0.2233305,-0.3983518,Right pectoral fin
0.4511217,0.2318816,-0.4083529,Right pectoral fin
0.4573491,0.2368487,-0.4149126,Right pectoral fin
0.4570051,0.2390555,-0.4173665,Right pectoral fin
0.4556423,0.2394828,-0.4196521,Right pectoral fin
0.4438773,0.2314922,-0.4132426,Right pectoral fin
0.4325436,0.2238218,-0.4044059,Right pectoral fin
0.453443,0.2373996,-0.4208289,Right pectoral fin
0.4513191,0.2340996,-0.4208593,Right pectoral fin
0.4440913,0.2287846,-0.4157495,Right pectoral fin
0.4330632,0.2201685,-0.4073428,Right pectoral fin
0.4187698,0.21473,-0.3936523,Right pectoral fin
0.4201566,0.2169475,-0.3907132,Right pectoral fin
0.4192318,0.2098016,-0.3965311,Right pectoral fin
0.4026477,0.1986129,-0.3837392,Right pectoral fin
0.4023509,0.2048524,-0.3811003,Right pectoral fin
0.4037889,0.207426,-0.3780383,Right pectoral fin
0.4230918,0.2163073,-0.3880887,Right pectoral fin
0.4066712,0.206215,-0.3749361,Right pectoral fin
0.4107077,0.2011006,-0.3721768,Right pectoral fin
0.4272747,0.2126627,-0.386154,Right pectoral fin
0.3160508,-0.04353205,-0.2700029,Right pectoral fin
0.2909432,-0.05262949,-0.2483863,Right pectoral fin
0.2888718,-0.05717345,-0.25337,Right pectoral fin
0.3179539,-0.03923557,-0.265327,Right pectoral fin
0.3181413,-0.02817572,-0.261606,Right pectoral fin
0.2914035,-0.04091629,-0.2445327,Right pectoral fin
0.2622048,-0.06570221,-0.2309211,Right pectoral fin
0.2600107,-0.07053185,-0.2362201,Right pectoral fin
0.2855369,-0.05444269,-0.2588585,Right pectoral fin
0.3127548,-0.04096404,-0.275085,Right pectoral fin
0.2567189,-0.06768437,-0.2421408,Right pectoral fin
0.2526936,-0.05711577,-0.2479569,Right pectoral fin
0.2812862,-0.04433173,-0.2642268,Right pectoral fin
0.3083887,-0.03143039,-0.2800242,Right pectoral fin
0.3382818,-0.02610733,-0.2913991,Right pectoral fin
0.3414816,-0.02851547,-0.2866851,Right pectoral fin
0.3339038,-0.01715737,-0.2959342,Right pectoral fin
0.3577318,-0.0008641791,-0.3123235,Right pectoral fin
0.3620242,-0.009211,-0.308168,Right pectoral fin
0.3650958,-0.01145118,-0.303785,Right pectoral fin
0.3432079,-0.0244779,-0.2822838,Right pectoral fin
0.3666745,-0.007678596,-0.2996285,Right pectoral fin
0.3664885,0.002012848,-0.2961524,Right pectoral fin
0.3431653,-0.01409072,-0.2786866,Right pectoral fin
0.1847785,-0.0423601,-0.2243908,Body
0.2085987,-0.0006090617,-0.2440357,Body
0.2143125,-0.02827525,-0.2404068,Body
0.1803207,-0.01416221,-0.2287461,Body
0.1748303,0.01552841,-0.2323963,Body
0.2012035,0.02860376,-0.2465921,Body
0.2278784,0.04125715,-0.2613216,Body
0.2363937,0.0125372,-0.2598159,Body
0.2430329,-0.01484412,-0.2569458,Right pectoral fin
0.2188488,-0.05246823,-0.2359594,Body
0.1884545,-0.06719437,-0.2192721,Body
0.248299,-0.03878206,-0.2529424,Right pectoral fin
0.2227083,-0.0710369,-0.2306295,Body
0.1920404,-0.08614662,-0.2133077,Body
0.157454,-0.0823613,-0.2042515,Body
0.1546753,-0.05546022,-0.2103863,Body
0.1614002,-0.1024965,-0.1970546,Body
0.1288307,-0.1226254,-0.1830559,Body
0.1260392,-0.0953107,-0.1943374,Body
0.1241051,-0.06622397,-0.2012259,Body
0.1516799,-0.02555125,-0.2150046,Body
0.1223688,-0.03454677,-0.2062435,Body
0.1216105,0.001367537,-0.2074778,Body
0.1488609,0.005074992,-0.2191483,Body
0.2972122,0.006949551,-0.2876603,Right pectoral fin
0.2764673,-0.02673507,-0.2688498,Right pectoral fin
0.2706954,-0.00370516,-0.2725197,Right pectoral fin
0.3032749,-0.01482996,-0.2842718,Right pectoral fin
0.2635856,0.02270556,-0.2750292,Right pectoral fin
0.289999,0.03202048,-0.2900225,Right pectoral fin
0.2547532,0.05044464,-0.2761706,Right pectoral fin
0.2814341,0.05849516,-0.291191,Right pectoral fin
0.3154585,0.04260644,-0.3051426,Right pectoral fin
0.3224959,0.01892794,-0.3028995,Right pectoral fin
0.3075273,0.06773761,-0.3064345,Right pectoral fin
0.3326391,0.07874665,-0.3220471,Right pectoral fin
0.3397869,0.05506676,-0.3206679,Right pectoral fin
0.3464562,0.03285288,-0.3185819,Right pectoral fin
0.3286431,-0.001569468,-0.2997988,Right pectoral fin
0.3524901,0.01368318,-0.3157976,Right pectoral fin
0.3123052,0.01205781,-0.2584732,Right pectoral fin
0.2899049,-0.02213934,-0.2424343,Right pectoral fin
0.3162905,-0.01045363,-0.2593891,Right pectoral fin
0.2861946,0.001659167,-0.2417791,Right pectoral fin
0.3410583,0.00254995,-0.2763851,Right pectoral fin
0.3369688,0.02373609,-0.2752805,Right pectoral fin
0.3642659,0.01752927,-0.2938105,Right pectoral fin
0.3602399,0.03732442,-0.2925831,Right pectoral fin
0.3309785,0.04775967,-0.2752743,Right pectoral fin
0.3060896,0.03748576,-0.2586556,Right pectoral fin
0.3546432,0.05985204,-0.2924505,Right pectoral fin
0.3477089,0.08356588,-0.2933928,Right pectoral fin
0.323169,0.07291267,-0.2762678,Right pectoral fin
0.2975475,0.06395735,-0.2597335,Right pectoral fin
0.2800196,0.02843706,-0.2422548,Right pectoral fin
0.2711271,0.05615217,-0.2435493,Right pectoral fin
0.4406753,0.2086248,-0.4133791,Right pectoral fin
0.4476438,0.2264552,-0.4195316,Right pectoral fin
0.4529594,0.2231486,-0.4235135,Right pectoral fin
0.4361127,0.2152334,-0.4104924,Right pectoral fin
0.456292,0.2353273,-0.4255064,Right pectoral fin
0.4625816,0.2348538,-0.4305686,Right pectoral fin
0.4584631,0.217509,-0.4266199,Right pectoral fin
0.4457346,0.1999511,-0.415527,Right pectoral fin
0.46861,0.2317141,-0.4345397,Right pectoral fin
0.4734692,0.2251959,-0.4367714,Right pectoral fin
0.4632158,0.2090278,-0.4283139,Right pectoral fin
0.4504329,0.1890323,-0.4165952,Right pectoral fin
0.4306277,0.1807121,-0.402086,Right pectoral fin
0.4258823,0.1925225,-0.4008653,Right pectoral fin
0.4353577,0.1671482,-0.4025194,Right pectoral fin
0.4182278,0.1453141,-0.3869905,Right pectoral fin
0.4133457,0.1614642,-0.387122,Right pectoral fin
0.4087311,0.176206,-0.3866744,Right pectoral fin
0.4218431,0.202309,-0.3989746,Right pectoral fin
0.4049698,0.1888265,-0.385572,Right pectoral fin
0.4732045,0.2458359,-0.4335886,Right pectoral fin
0.4807533,0.2431131,-0.4346282,Right pectoral fin
0.4801521,0.2447827,-0.438464,Right pectoral fin
0.473854,0.244607,-0.4300497,Right pectoral fin
0.470778,0.2385706,-0.4232003,Right pectoral fin
0.4773784,0.2356185,-0.4270334,Right pectoral fin
0.4825681,0.2293392,-0.4294528,Right pectoral fin
0.4859296,0.2379563,-0.4373535,Right pectoral fin
0.4852506,0.2399469,-0.4412405,Right pectoral fin
0.475972,0.2408942,-0.4384611,Right pectoral fin
0.4693885,0.2425006,-0.4338442,Right pectoral fin
0.4809556,0.2355978,-0.4410634,Right pectoral fin
0.4619128,0.2412024,-0.4278315,Right pectoral fin
0.464947,0.2438547,-0.4271996,Right pectoral fin
0.4658358,0.2430584,-0.4243036,Right pectoral fin
0.4634872,0.238627,-0.418734,Right pectoral fin
0.2420575,0.1590904,-0.2774128,Right pectoral fin
0.2788675,0.1623238,-0.2914272,Right pectoral fin
0.2753816,0.1646803,-0.2952623,Right pectoral fin
0.2458328,0.156631,-0.2736679,Right pectoral fin
0.2528207,0.1479285,-0.2700489,Right pectoral fin
0.2849609,0.1539012,-0.28759,Right pectoral fin
0.3161765,0.1609786,-0.3055133,Right pectoral fin
0.31097,0.1690499,-0.3095314,Right pectoral fin
0.3077643,0.1712845,-0.3134389,Right pectoral fin
0.2746866,0.1610183,-0.2988566,Right pectoral fin
0.241663,0.1553419,-0.2810858,Right pectoral fin
0.3067645,0.1677425,-0.3169501,Right pectoral fin
0.3081759,0.1584839,-0.3197792,Right pectoral fin
0.2769662,0.1513853,-0.3019716,Right pectoral fin
0.2448177,0.1454207,-0.2844889,Right pectoral fin
0.2101614,0.1503491,-0.2644967,Body
0.2103489,0.1541677,-0.2607388,Body
0.2139398,0.1401953,-0.2681069,Body
0.1865508,0.1339398,-0.2541001,Body
0.1826597,0.1443721,-0.2504763,Body
0.1828234,0.1483023,-0.2466277,Body
0.214339,0.1516262,-0.2570104,Body
0.1868691,0.1457454,-0.242731,Body
0.1946239,0.136656,-0.2389914,Body
0.2219681,0.1426994,-0.2534887,Body
0.4523085,0.2129058,-0.4001143,Right pectoral fin
0.4568098,0.2303739,-0.4100814,Right pectoral fin
0.4462877,0.2191651,-0.398785,Right pectoral fin
0.4634178,0.2274839,-0.4130129,Right pectoral fin
0.4324048,0.2058669,-0.3852839,Right pectoral fin
0.4379851,0.1963956,-0.3851311,Right pectoral fin
0.4156079,0.191964,-0.3701435,Right pectoral fin
0.4209734,0.1796672,-0.3687217,Right pectoral fin
0.4435185,0.1847246,-0.3853479,Right pectoral fin
0.4581353,0.2043895,-0.4015999,Right pectoral fin
0.4264059,0.1650723,-0.3677972,Right pectoral fin
0.4315073,0.1490415,-0.3672555,Right pectoral fin
0.448508,0.1713295,-0.3855869,Right pectoral fin
0.463154,0.1936953,-0.402666,Right pectoral fin
0.4696305,0.2220324,-0.4157595,Right pectoral fin
0.4747418,0.2138087,-0.4175891,Right pectoral fin
0.1472366,0.1278328,-0.2294161,Body
0.1659066,0.1374249,-0.2321061,Body
0.1620485,0.1398841,-0.236467,Body
0.1508345,0.1257216,-0.224693,Body
0.1568894,0.1169984,-0.2195041,Body
0.1730089,0.1282404,-0.2276391,Body
0.161636,0.1357434,-0.2404111,Body
0.1466284,0.1236068,-0.233459,Body
0.1648692,0.124885,-0.2437432,Body
0.1489341,0.1127798,-0.2363509,Body
0.1371751,0.1071059,-0.2287777,Body
0.1376004,0.1110676,-0.2246347,Body
0.1387841,0.09737322,-0.2312382,Body
0.1342696,0.08566634,-0.2270078,Body
0.1318932,0.08864915,-0.224307,Body
0.1320275,0.09212433,-0.2196367,Body
