ID,CodeTourbiere,Ordre,Site,Traitement,DemiParcelle,SousTraitement,Latitude_m.x,Longitude_m.x,Rendement_g_5m2,TotalRamet_nombre_m2,TotalVegetatif_nombre_m2,TotalFloral_nombre_m2,TotalMale_nombre_m2,TotalFemelle_nombre_m2,FemelleFruit_nombre_m2,FemelleAvorte_nombre_m2,SterileFleur_nombre_m2,C_pourc,N_pourc,P_pourc,K_pourc,Ca_pourc,Mg_pourc,S_pourc,B_pourc,Cu_pourc,Zn_pourc,Mn_pourc,Fe_pourc,Al_pourc,Station,Longitude_m.y,Latitude_m.y,t_moy_C,prec_tot_mm
29,2,10,20,temoin,left,Cu,5702494,486350,0,236.8,137.6,99.2,57.6,41.6,NA,41.6,0,49.22,2.698,0.1631142259,0.857631779,0.3763344049,0.4678137692,0.142,0.00416746,5.61e-4,0.0055532892,0.0196562881,0.0103757641,0.0023559294,B,484870,5701870,18.2,714
30,2,10,20,temoin,right,Control,5702494,486350,0,227.2,116,111.2,74.4,36.8,0.4,36,0.4,47.35,2.256,0.17559386,0.6273341343,0.4017386462,0.4976386705,0.1176,0.00416382,3.81e-4,0.0061092421,0.0171398649,0.0106514757,0.0023675499,B,484870,5701870,18.2,714
31,MB,C,1,NA,NA,NA,5699342,491931,NA,218.9966895849,89.1265597148,129.8701298701,1.2732365674,127.3236567354,39.470333588,59.8421186656,1.2732365674,51.34,2.067,0.1280042581,0.7399767292,0.441918449,0.5203102946,0.132,0.0029649481,3.7e-5,0.0062256194,0.0468155437,0.0147611125,0.0026583374,A,490640,5702453,13.8,687
32,MB,C,2,NA,NA,NA,5699337,491935,NA,282.6585179526,204.991087344,77.6674306086,45.8365164248,31.8309141839,14.0056022409,10.1858925388,0,50.65,2.094,0.1172147646,0.4540803732,0.4351700608,0.7522138365,0.1245,0.0029649481,3.7e-5,0.0093442268,0.0438777655,0.0167856899,0.0033149365,A,490640,5702453,13.8,687
33,MB,C,3,NA,NA,NA,5699330,491947,NA,291.5711739241,255.9205500382,35.6506238859,8.9126559715,26.7379679144,15.2788388083,8.9126559715,0,51.36,2.143,0.1025323329,0.529523329,0.4057028305,0.5826323867,0.1219,0.0029649481,4.599736e-4,0.0061030981,0.0361438874,0.0143817554,0.001763732,A,490640,5702453,13.8,687
34,MB,C,4,NA,NA,NA,5699332,491955,NA,235.5487649605,204.991087344,30.5576776165,3.8197097021,26.7379679144,11.4591291062,10.1858925388,0,51.71,2.35,0.1149739544,0.737710094,0.5058476108,0.5088312917,0.13,0.0029649481,3.7e-5,0.0064475869,0.0800836153,0.0136393187,0.0014664813,A,490640,5702453,13.8,687
35,MB,C,5,NA,NA,NA,5699362,491949,NA,243.1881843647,193.5319582378,49.6562261268,7.6394194041,38.1970970206,17.825311943,7.6394194041,3.8197097021,52.65,2.11,0.0847428969,0.9127261677,0.3283183641,0.376200956,0.1106,0.0029649481,3.7e-5,0.0067872586,0.0490845512,0.014125567,0.0015129227,A,490640,5702453,13.8,687
36,MR,I,1,NA,NA,NA,5701988,459875,NA,109.4983447925,85.3068500127,24.1914947797,10.1858925388,14.0056022409,8.9126559715,3.8197097021,0,51.77,2.063,0.1226033235,0.9337929452,0.4208446394,0.4568872609,0.1327,0.0018196077,0.0023329078,0.0057670441,0.0247424694,0.018004348,0.0024920056,B,484870,5701870,18.2,714
37,MR,I,2,NA,NA,NA,5701987,459873,NA,100.585688821,67.4815380698,33.1041507512,16.5520753756,16.5520753756,7.6394194041,1.2732365674,0,50.82,1.903,0.1288217918,0.9577305624,0.3630285753,0.4227598426,0.1145,0.0018196077,0.0021268252,0.0058692802,0.0286749788,0.0136508271,0.0017225869,B,484870,5701870,18.2,714
38,MR,I,3,NA,NA,NA,5701971,459880,NA,105.6786350904,54.7491723962,50.9294626942,40.7435701553,10.1858925388,6.3661828368,2.5464731347,0,50.19,1.947,0.1125788709,0.906440617,0.4550920421,0.4873475248,0.1548,0.0018196077,0.0020709583,0.0052977462,0.0380704554,0.0234167782,0.0038126686,B,484870,5701870,18.2,714
39,MR,I,4,NA,NA,NA,5701966,459894,NA,95.4927425516,56.0224089636,39.470333588,16.5520753756,20.3717850777,10.1858925388,5.0929462694,2.5464731347,51.18,1.953,0.1218836929,0.696009479,0.4145650213,0.4387117906,0.1053,0.0018196077,0.0017420899,0.0032669471,0.0207743351,0.0150019185,0.0021168292,B,484870,5701870,18.2,714
40,MR,I,5,NA,NA,NA,5701994,459915,NA,103.1321619557,75.1209574739,28.0112044818,20.3717850777,7.6394194041,6.3661828368,0,0,48.91,2.088,0.1477856146,0.6558605529,0.8766059703,0.531651312,0.1087,0.0018196077,0.0042487033,0.0053523551,0.0086432132,0.027685856,0.0045860022,B,484870,5701870,18.2,714
41,NESP,J,1,NA,NA,NA,5701888,484875,NA,40.7435701553,22.9182582124,17.825311943,15.2788388083,2.5464731347,2.5464731347,0,0,49.08,1.729,0.1479654801,0.8505295659,0.4040438279,0.6128613691,0.131,0.0025630194,0.0019114388,0.0068761137,0.0865360911,0.0211212831,0.0041447006,B,484870,5701870,18.2,714
42,NESP,J,2,NA,NA,NA,5701876,484870,NA,53.4759358289,28.0112044818,25.4647313471,19.0985485103,6.3661828368,5.0929462694,0,0,48.51,1.921,0.1344191193,1.0940762308,0.5232150163,0.5265093596,0.2709,0.0025630194,7.051523e-4,0.0056261513,0.035929997,0.0172867492,0.0031811604,B,484870,5701870,18.2,714
43,NESP,J,3,NA,NA,NA,5701866,484866,NA,64.9350649351,49.6562261268,15.2788388083,5.0929462694,10.1858925388,6.3661828368,1.2732365674,0,48.17,1.532,0.1306055865,0.849186904,0.4263604868,0.6355072082,0.2489,0.0025630194,5.234251e-4,0.0079192742,0.0659345803,0.0212508066,0.0044498052,B,484870,5701870,18.2,714
44,NESP,J,4,NA,NA,NA,5701860,484864,NA,86.5800865801,64.9350649351,21.645021645,7.6394194041,14.0056022409,10.1858925388,3.8197097021,0,48.14,1.751,0.11996070389999999,1.1256370494,0.3778272069,0.5121296031,0.2809,0.0025630194,1.430333e-4,0.0056853891,0.0633701452,0.0228354633,0.0025129799,B,484870,5701870,18.2,714
45,NESP,J,5,NA,NA,NA,5701861,484875,NA,91.6730328495,64.9350649351,26.7379679144,16.5520753756,10.1858925388,7.6394194041,1.2732365674,0,47.77,1.861,0.1424333937,0.8074153603,0.423396129,0.5912421815,0.2047,0.0025630194,4.607688e-4,0.0086291237,0.0553100818,0.0520646598,0.0045462902,B,484870,5701870,18.2,714
46,NBM,D,1,NA,NA,NA,5695688,485975,NA,319.5823784059,269.9261522791,49.6562261268,34.3773873186,15.2788388083,15.2788388083,0,0,50.04,1.595,0.1054601324,0.6843161698,0.295212376,0.4342023621,0.07,0.0028262019,3.7e-5,0.003858587,0.0662771477,0.0259581945,0.0093337163,C,485929,5696421,16.3,732
47,NBM,D,2,NA,NA,NA,5696590,485972,NA,379.4244970716,327.22179781,52.2026992615,28.0112044818,24.1914947797,21.645021645,2.5464731347,0,52.95,1.847,0.1162190628,0.7447759985,0.3116346119,0.4412488523,0.08244,0.0028262019,3.7e-5,0.0045057097,0.0342315753,0.0213176706,0.0078156527,C,485929,5696421,16.3,732
48,NBM,D,3,NA,NA,NA,5696607,485912,NA,250.8276037688,213.9037433155,36.9238604533,15.2788388083,21.645021645,11.4591291062,5.0929462694,0,52.25,2.146,0.1181775794,0.8746860933,0.3716925525,0.425159219,0.111,0.0028262019,1.096762e-4,0.0066812731,0.0274433366,0.0122101281,0.0040497717,C,485929,5696421,16.3,732
49,NBM,D,4,NA,NA,NA,5696611,485903,NA,210.0840336134,187.1657754011,22.9182582124,5.0929462694,17.825311943,10.1858925388,3.8197097021,0,52.04,2.056,0.137376491,1.1433717017,0.3032566708,0.4116150178,0.104,0.0028262019,3.7e-5,0.0049531046,0.0503730126,0.0121319493,0.0059106446,C,485929,5696421,16.3,732
50,NBM,D,5,NA,NA,NA,5696612,485884,NA,160.4278074866,146.4222052457,14.0056022409,0,14.0056022409,8.9126559715,2.5464731347,0,50.77,2.415,0.1563609441,0.8248472716,0.5656862118,0.6034372467,0.1274,0.0028262019,3.7e-5,0.0065613351,0.0808891248,0.0130333966,0.0037836215,C,485929,5696421,16.3,732
51,NTP,B,1,NA,NA,NA,5704088,487575,NA,501.6552075376,448.1792717087,53.4759358289,30.5576776165,22.9182582124,22.9182582124,0,0,49.94,2.053,0.104169284,0.3977509605,0.554359659,0.6185115617,0.1092,0.0030820253,3.294423e-4,0.006927428,0.0122244555,0.0150563776,0.00192536,A,490640,5702453,13.8,687
52,NTP,B,2,NA,NA,NA,5704093,487572,NA,588.2352941176,523.3002291826,64.9350649351,43.29004329,21.645021645,20.3717850777,1.2732365674,0,51.77,1.876,0.0806914759,0.3942781758,0.5406652689,0.5625242094,0.1301,0.0030820253,3.061055e-4,0.0072934121,0.0138209588,0.0155902561,0.0020304419,A,490640,5702453,13.8,687
