station_id,station_name,prov,lat,lon,degree_days,cumul_precip,sdi
10247,ILE AUX GRUES,QC,47.07,-70.53,NA,NA,NA
10661,NORTHEAST MARGAREE (AUT),NS,46.37,-60.98,371.6,222.4,0.9038270553511408
10732,NICOLET,QC,46.23,-72.66,822.8,78.4,0.7038490027241355
10761,MCTAVISH,QC,45.5,-73.58,914.6,107,0.7396563057383778
10762,STE-CLOTILDE,QC,45.17,-73.68,860.2,85.2,0.8199301268594917
10763,ILES DE LA MADELEINE,QC,47.43,-61.77,326.2,166.6,0.8532993048367298
10764,TROIS-RIVIERES,QC,46.35,-72.52,752.6,72.2,0.731348366558484
10791,MATAGAMI,QC,49.76,-77.79,342.8,72.4,0.7454808286447813
10792,GRAND ETANG,NS,46.55,-61.05,268.4,NA,NA
10797,MISTOOK,QC,48.6,-71.72,426.2,NA,NA
10800,SUMMERSIDE,PE,46.44,-63.84,518.8,155.6,0.8646032702386224
10801,LAC MEMPHREMAGOG,QC,45.27,-72.17,474.8,NA,NA
10808,MIRAMICHI RCS,NB,47.01,-65.47,590.8,106.4,0.7390229831187249
10814,NORTH CAPE,PE,47.06,-64,452.59999999999997,159.8,0.8416770105088937
10815,FRELIGHSBURG,QC,45.03,-72.85,868.6,132.4,0.817883049290577
10843,L'ACADIE,QC,45.29,-73.35,870.4,138.8,0.9004813764600946
10849,ROUYN,QC,48.25,-79.03,586.8,112.2,0.7169835541791592
10868,ST-JOVITE,QC,46.08,-74.56,714,90,0.6849304095872759
10869,CAP-TOURMENTE,QC,47.08,-70.78,680,85.6,0.7249251927568344
10871,L'ETAPE,QC,47.56,-71.23,282.4,149.8,0.8777254640976762
10872,NORMANDIN,QC,48.84,-72.55,409,79,0.7320942919445942
10873,STE-ANNE-DE-BELLEVUE 1,QC,45.43,-73.93,887.6,89.8,0.6967671007282384
10875,LA TUQUE,QC,47.41,-72.79,563,144,0.7656821712221283
10898,NEW CARLISLE 1,QC,48.01,-65.33,405,122,0.7599174536573278
10938,ILE BICQUETTE,QC,48.42,-68.89,392.2,NA,NA
10963,CAP-ROUGE,QC,48.37,-70.54,543.2,NA,NA
10964,POINTE CLAVEAU,QC,48.26,-70.11,476.2,NA,NA
10966,POINTE DE L'ISLET,QC,48.14,-69.72,463.4,NA,NA
10975,LAC SAINT-PIERRE,QC,46.18,-72.92,769.4,NA,NA
10981,FREDERICTON AQUATIC CENTRE C/S,NB,45.96,-66.65,NA,NA,NA
10982,ST-ANICET 1,QC,45.12,-74.29,769.4,91.2,0.7546514377788088
26773,OMPAH-SEITZ,ON,45.05,-76.78,437.4,36.2,0.6124923071765787
26777,BEAUCEVILLE,QC,46.21,-70.79,686.4,120.2,0.6415376057453699
26797,CHAMOUCHOUANE,QC,49.28,-73.36,277.4,NA,NA
26799,BANCROFT AUTO,ON,45.07,-77.88,762.2,56.6,0.7907067024881346
26887,AMQUI,QC,48.47,-67.43,391.6,86,0.8743324734013141
26889,BAIE-COMEAU,QC,49.26,-68.15,272.2,122,0.8713912385904623
26892,QUEBEC/JEAN LESAGE INTL,QC,46.8,-71.38,654.8,111.2,0.8676508754249871
26893,LA POCATIERE,QC,47.36,-70.03,546,72,0.6669175551015082
26968,KOUCHIBOUGUAC CS,NB,46.78,-65.02,104.6,105.8,0.5423756101186255
27141,KENTVILLE CDA CS,NS,45.07,-64.48,647.8,131.20000000000002,0.8332081242154756
27194,POINTE-AU-PERE (INRS),QC,48.51,-68.47,445.8,101.2,0.873236698375418
27195,CAP-CHAT,QC,49.11,-66.65,260.2,114,0.8721805367253814
27294,ONATCHIWAY,QC,48.89,-71.03,312.6,165.4,0.8578968414555717
27315,LA BAIE,QC,48.3,-70.92,428.6,NA,NA
27325,DESCHAMBAULT,QC,46.69,-71.97,625.6,107,0.8016279338742434
27377,STE-FOY (U. LAVAL),QC,46.78,-71.29,730.2,104.2,0.8754853882425095
27442,CHARLEVOIX (MRC),QC,47.28,-70.64,345.4,97.80000000000001,0.7064419882530341
27443,CHAPAIS,QC,49.82,-74.98,306.6,41.2,0.6961780545256517
27592,NORTH MOUNTAIN CS,NS,46.82,-60.67,219.2,219.8,0.863974524211989
27600,CHETICAMP CS,NS,46.65,-60.95,391,215.6,0.8855947781129032
27646,SHAWINIGAN,QC,46.56,-72.73,747.6,90,0.798103479200615
27717,HIGH FALLS,QC,45.84,-75.65,761.8,104.39999999999999,0.7597277562967416
27746,POINT LEPREAU CS,NB,45.07,-66.45,541.4,114.2,0.7697972466559491
27803,BEAUPORT,QC,46.84,-71.2,NA,124.8,0.9198285188048778
29452,VALCARTIER A,QC,46.9,-71.5,566.6,106,0.8898050168895615
29493,GAGETOWN AWOS A,NB,45.84,-66.45,661,150,0.7543943440779997
29714,LEMIEUX,QC,46.3,-72.06,726,90.2,0.7684419820175215
30165,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,QC,45.47,-73.74,868.6,87.6,0.7420648816087168
30172,VAL-D'OR,QC,48.06,-77.79,551.4,128.8,0.7814959299064725
30173,BAIE-COMEAU A,QC,49.13,-68.2,232.8,130.2,0.8261834150864013
30308,HARRINGTON CDA CS,PE,46.34,-63.17,501,155.79999999999998,0.8762805664942405
30309,FREDERICTON CDA CS,NB,45.92,-66.61,686.2,181,0.9112777976819307
30326,INGONISH BEACH RCS,NS,46.66,-60.41,391,109,0.858177709032733
