CodeTourbiere,ID,element,concentration
1,83,N_pourc,1.822
1,83,P_pourc,0.1317656145
1,83,K_pourc,1.0443618438
1,84,N_pourc,2.154
1,84,P_pourc,0.1606188262
1,84,K_pourc,1.323548484
1,85,N_pourc,1.983
1,85,P_pourc,0.1410045687
1,85,K_pourc,1.1616835429
WTP,86,N_pourc,1.983
WTP,86,P_pourc,0.0892145855
WTP,86,K_pourc,0.6481644462
WTP,87,N_pourc,1.719
WTP,87,P_pourc,0.0759938153
WTP,87,K_pourc,0.5568934646
WTP,88,N_pourc,1.626
WTP,88,P_pourc,0.0755592931
WTP,88,K_pourc,0.5070169445
WTP,89,N_pourc,1.798
WTP,89,P_pourc,0.0799258718
WTP,89,K_pourc,0.4647199775
WTP,90,N_pourc,1.806
WTP,90,P_pourc,0.0848354981
WTP,90,K_pourc,0.7131133592
