,x,y,z,anatomy
42,6.909343999999999e-30,-0.5218084,-0.2725798,Head
43,-6.3109849999999995e-12,-0.5028359,-0.2495884,Head
44,0.008256719000000001,-0.5033261,-0.2493405,Head
45,0.01588377,-0.5046152,-0.2484362,Head
46,0.01782851,-0.526374,-0.2729067,Head
47,0.022251499999999997,-0.5065215000000001,-0.2467148,Head
48,0.02673024,-0.5088633,-0.2440158,Head
49,0.02144734,-0.5286781999999999,-0.2716095,Head
50,0.02488891,-0.4682117,-0.1861789,Head
51,0.02812472,-0.4868694000000001,-0.21410460000000006,Head
52,0.02007391,-0.4864439,-0.2186399,Head
53,0.03489880000000001,-0.4668506,-0.1784333,Head
54,0.04198721,-0.4667447,-0.17003220000000002,Head
55,0.03379214,-0.4881509,-0.2087399,Head
56,0.01043419,-0.4864934,-0.2217988,Head
57,0.01293137,-0.4698282,-0.1919119,Head
58,6.656321e-30,-0.486637,-0.2230341,Head
59,2.270823e-16,-0.4707003,-0.1942752,Head
60,0.01554039,-0.4511493,-0.1613619,Head
61,0.02993159,-0.448471,-0.1534777,Head
62,6.410845e-30,-0.4525148,-0.1646701,Head
63,0.04202439,-0.445898,-0.1430579,Head
64,0.050669599999999995,-0.4448482,-0.13214289999999998,Head
65,0.03942718,-0.388882,-0.05365168,Head
66,0.04983027,-0.4182247,-0.06392807,Head
67,0.05569252,-0.3918065,-0.04833508,Head
68,0.03483989,-0.4191164000000001,-0.07188348,Head
69,0.029768299999999998,-0.4469469,-0.09650666,Head
70,0.04269996,-0.4436502000000001,-0.0872054,Head
71,0.05328863,-0.4393142,-0.08019437,Head
72,0.06190516,-0.4161637,-0.05801647,Head
73,0.06846728,-0.3932175,-0.04457697,Head
74,0.05896911,-0.3672051,-0.03888306,Head
75,0.0429707,-0.3598852,-0.04111227,Head
76,0.07097249,-0.372305,-0.03756964,Head
77,0.06996247,-0.3575386,-0.03530819,Head
78,0.06146243,-0.3475001,-0.034101400000000004,Head
79,0.04569101,-0.3358353,-0.03358437,Head
80,0.02258274,-0.3536502,-0.04331851,Head
81,0.02040324,-0.3860459000000001,-0.05849582,Head
82,0.02426033,-0.32643720000000004,-0.03345774,Head
83,1.26225e-11,-0.3223048,-0.03349202,Head
84,5.679134e-30,-0.3508038,-0.04441589,Head
85,1.5777709999999998e-12,-0.3846499,-0.06079977,Head
86,0.01790586,-0.4192902,-0.07897937,Head
87,6.17116e-30,-0.4191976,-0.08231243,Head
88,5.820765e-11,-0.4498016,-0.1086226,Head
89,0.01527464,-0.4490491,-0.1047588,Head
90,0.008710871,-0.5471789,-0.27769629999999995,Head
91,0.01099057,-0.5599025,-0.2923758,Head
92,0.01248544,-0.5474204,-0.27795820000000004,Head
93,0.007761119,-0.5611550000000001,-0.2928872,Head
94,0.007249419,-0.5723079000000001,-0.30421,Head
95,0.01021135,-0.5694674,-0.30257929999999994,Head
96,0.01219834,-0.5662421,-0.3005298,Head
97,0.013509799999999999,-0.5591983,-0.2931109000000001,Head
98,0.01558076,-0.5476783000000001,-0.2792964000000001,Head
99,0.01476583,-0.5326774000000001,-0.2575731,Head
100,0.01024852,-0.531643,-0.2575788,Head
101,0.01855481,-0.5333141,-0.2586504,Head
102,0.02286718,-0.5169775,-0.2303008,Head
103,0.01816121,-0.5167962,-0.2303746,Head
104,0.01258882,-0.5159271,-0.2317035,Head
105,0.00524565,-0.5306618000000001,-0.2580647,Head
106,0.004471608,-0.5468844,-0.2778159,Head
107,0.006438813000000001,-0.5149452999999999,-0.2332948,Head
108,2.3089140000000003e-16,-0.5144262,-0.2341561,Head
109,6.969601999999999e-30,-0.5301844,-0.2584276,Head
110,2.9104190000000003e-11,-0.5467239,-0.2779712,Head
111,0.004010781,-0.5619166999999999,-0.2932192,Head
112,7.199742999999999e-30,-0.562175,-0.2933404000000001,Head
113,3.1916319999999996e-16,-0.5746680000000001,-0.3050893,Head
114,0.003757266,-0.5740623,-0.30494540000000003,Head
115,0.02008604,-0.4862828,-0.1636042,Head
116,0.02300105,-0.5008997000000001,-0.1955169,Head
117,0.02893661,-0.484041,-0.1572215,Head
118,0.01594651,-0.5014107,-0.1992386,Head
119,0.02895312,-0.4995403000000001,-0.1933752,Head
120,0.03635625,-0.4808714,-0.1527789,Head
121,0.03561916,-0.4652734000000001,-0.1197105,Head
122,0.02477182,-0.4687319,-0.1282202,Head
123,0.04462021,-0.4608398,-0.1134169,Head
124,0.01269362,-0.4709885999999999,-0.1358238,Head
125,0.01028151,-0.4876142,-0.1694306,Head
126,6.549701e-30,-0.4718165,-0.1393991,Head
127,1.349446e-16,-0.4880522,-0.1722048,Head
128,0.008157001,-0.5014312,-0.2028355,Head
129,6.761942e-30,-0.5013188000000001,-0.2046028,Head
130,0.0488147,-0.3135077,-0.031401099999999994,Head
131,0.06562885,-0.3304924,-0.03821614,Head
132,0.04820015,-0.314839,-0.03650668,Head
133,0.06714936,-0.330581,-0.03395264,Head
134,0.0790821,-0.349745,-0.03706457,Head
135,0.07683806,-0.3480207,-0.040889499999999995,Head
136,0.02543435,-0.3029407,-0.03534004,Head
137,0.02562189,-0.30082190000000003,-0.02959261,Head
138,5.2987599999999986e-30,-0.29793020000000003,-0.03489242,Head
139,1.577809e-12,-0.2955759,-0.02887413,Head
140,0.02525196,-0.3087409,-0.02892381,Head
141,0.04780867,-0.3204413,-0.03038716,Head
142,5.340974e-30,-0.3037982,-0.02835938,Head
143,0.06497487,-0.3357711,-0.03251949,Head
144,0.07581046,-0.3533708,-0.03515072,Head
145,0.0807968,-0.3879664,-0.04731309,Head
146,0.07303849,-0.4037308,-0.06675616,Head
147,0.07924682,-0.3838508,-0.05277532,Head
148,0.07395113,-0.4080479,-0.06023265,Head
149,0.06457305,-0.4289438,-0.08214857,Head
150,0.06422676,-0.4248163,-0.08928911,Head
151,0.08094536,-0.3655438,-0.04494783,Head
